DATE;TIME PERIOD;RATE;YEAR
01/01/1999;01-janv-99;3;1999
04/01/1999;04-janv-99;3;1999
22/01/1999;22-janv-99;3;1999
09/04/1999;09-Apr-1999;2.5;1999
05/11/1999;05-nov-99;3;1999
04/02/2000;04 Feb 2000;3.25;2000
17/03/2000;17-mars-00;3.5;2000
28/04/2000;28 Apr 2000;3.75;2000
09/06/2000;09-juin-00;4.25;2000
15/10/2008;15-oct-08;3.75;2008
12/11/2008;12-nov-08;3.25;2008
10/12/2008;10 Dec 2008;2.5;2008
21/01/2009;21-janv-09;2;2009
11/03/2009;11-mars-09;1.5;2009
08/04/2009;08 Apr 2009;1.25;2009
13/05/2009;13 May 2009;1;2009
13/04/2011;13 Apr 2011;1.25;2011
13/07/2011;13-juil-11;1.5;2011
09/11/2011;09-nov-11;1.25;2011
14/12/2011;14 Dec 2011;1;2011
11/07/2012;11-juil-12;0.75;2012
08/05/2013;08 May 2013;0.5;2013
13/11/2013;13-nov-13;0.25;2013
11/06/2014;11-juin-14;0.15;2014
10/09/2014;10-sept-14;0.05;2014
09/12/2015;09 Dec 2015;0.05;2015
16/03/2016;16-mars-16;0;2016
18/09/2019;18-sept-19;0;2019
27/07/2022;27-juil-22;0.5;2022
14/09/2022;14-sept-22;1.25;2022
02/11/2022;02-nov-22;2;2022
21/12/2022;21 Dec 2022;2.5;2022
08/02/2023;08 Feb 2023;3;2023
22/03/2023;22-mars-23;3.5;2023
10/05/2023;10 May 2023;3.75;2023
21/06/2023;21-juin-23;4;2023
02/08/2023;02 Aug 2023;4.25;2023
20/09/2023;20-sept-23;4.5;2023
12/06/2024;12-juin-24;4.25;2024
18/09/2024;18-sept-24;3.65;2024
23/10/2024;23-oct-24;3.4;2024
